date;is_throttled;freq;temp;volt
Thu 26 Jan 20:12:43 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:12:45 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.9089V
Thu 26 Jan 20:12:47 CET 2023;throttled=0xe0008;1629Mhz;temp=83.2'C;volt=0.8876V
Thu 26 Jan 20:12:49 CET 2023;throttled=0xe0008;1726Mhz;temp=83.7'C;volt=0.8876V
Thu 26 Jan 20:12:51 CET 2023;throttled=0xe0008;600Mhz;temp=83.7'C;volt=0.9305V
Thu 26 Jan 20:12:53 CET 2023;throttled=0xe0008;1580Mhz;temp=84.2'C;volt=0.8768V
Thu 26 Jan 20:12:56 CET 2023;throttled=0xe0008;1677Mhz;temp=83.7'C;volt=0.8876V
Thu 26 Jan 20:12:58 CET 2023;throttled=0xe0008;1580Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:13:00 CET 2023;throttled=0xe0008;1677Mhz;temp=84.2'C;volt=0.8984V
Thu 26 Jan 20:13:02 CET 2023;throttled=0xe0008;1580Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:13:04 CET 2023;throttled=0xe0008;600Mhz;temp=84.7'C;volt=0.9197V
Thu 26 Jan 20:13:07 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:13:09 CET 2023;throttled=0xe0008;1580Mhz;temp=83.7'C;volt=0.8876V
Thu 26 Jan 20:13:11 CET 2023;throttled=0xe0008;600Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:13:13 CET 2023;throttled=0xe0008;1580Mhz;temp=83.7'C;volt=0.8876V
Thu 26 Jan 20:13:15 CET 2023;throttled=0xe0008;1629Mhz;temp=83.7'C;volt=0.8700V
Thu 26 Jan 20:13:18 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:13:20 CET 2023;throttled=0xe0008;1726Mhz;temp=83.7'C;volt=0.8768V
Thu 26 Jan 20:13:22 CET 2023;throttled=0xe0008;1726Mhz;temp=83.2'C;volt=0.8700V
Thu 26 Jan 20:13:24 CET 2023;throttled=0xe0008;1531Mhz;temp=84.7'C;volt=0.8876V
Thu 26 Jan 20:13:26 CET 2023;throttled=0xe0008;1531Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:13:29 CET 2023;throttled=0xe0008;1531Mhz;temp=83.7'C;volt=0.8984V
Thu 26 Jan 20:13:31 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:13:33 CET 2023;throttled=0xe0006;1580Mhz;temp=84.7'C;volt=0.8700V
Thu 26 Jan 20:13:35 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8700V
Thu 26 Jan 20:13:37 CET 2023;throttled=0xe0006;1580Mhz;temp=82.7'C;volt=0.8984V
Thu 26 Jan 20:13:40 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:13:42 CET 2023;throttled=0xe0008;1580Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:13:44 CET 2023;throttled=0xe0008;1580Mhz;temp=83.7'C;volt=0.9089V
Thu 26 Jan 20:13:46 CET 2023;throttled=0xe0008;1531Mhz;temp=83.7'C;volt=0.8984V
Thu 26 Jan 20:13:49 CET 2023;throttled=0xe0008;1580Mhz;temp=83.2'C;volt=0.8768V
Thu 26 Jan 20:13:51 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:13:53 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:13:55 CET 2023;throttled=0xe0008;1677Mhz;temp=83.7'C;volt=0.8768V
Thu 26 Jan 20:13:57 CET 2023;throttled=0xe0006;1629Mhz;temp=84.2'C;volt=0.9089V
Thu 26 Jan 20:13:59 CET 2023;throttled=0xe0008;1629Mhz;temp=84.7'C;volt=0.8876V
